name,prompt,negative_prompt
白毛 包子头 白色蕾丝 手套  睡衣 乳沟 面部标记,"1girl, solo, double bun, ((transparent white lace pajamas)), white lace elbow gloves, cleavage, braid, looking her target, hair ornament, jewelry, white hair, sleeveless, standing, very long hair, earrings, bangs, bare shoulders, hairclip, facial mark, parted lips, red eyes, sideboob, lace trim, sidelocks,",
山谷 河边 光照 部分水下摄影大胸 文胸 粉白色丝袜,"((masterpiece), (best_quality:1.3), (ultra_detailed:1.3), 8k, (((extremely clear))), vivid color, cinematic lighting, 1girl, large breasts, ((pink white thighhighs with Four-pointed star pattern embellishment)), (Bra:1), exquisite facial features, serene expression, beautiful gradient hair, scenery, clear blue transparent sky, fantasy valley in mountains, outdoor, intricate adorable beautiful face, hair ornaments, flower style, ((beautiful and delicate water, the finest grass, very delicate light, nature, painting, breeze, flowers and grass meadow, near the water edge, sunset, starry sky in a circle, randomly distributed clouds, river, splashing water, falling petals )), (((Tyndall effect, available light))), ((ink splashing)), ((color splashing)), ((((dyeing)))), (((colorful bubble))), (partially underwater shot:1.2),",
白毛 齐刘海 卷毛 蓝白褶边连衣裙 白色连裤袜,"(((masterpiece))), (best quality), extremely delicate and beautiful, (ultra-detailed), 1girl, solo, white hair, long hair, curly hair, blunt bangs, blue eyes, medium breasts, (blue frilled dress), (white pantyhose), white gloves, short sleeves, Blue ribbon, ((detailed and intricate fabric)), detailed light, look at viewer,",
白毛 花园 14岁公主 小乳房 白色连衣裙 公主礼服,"masterpiece, 1girl, anime face, cute girl, ultra detailed, best quality, 14-year-old girl, blue eyes, ((goddess)), (((princess))), embodies the goddess of art and beauty, an endearing smile, small breast, long hair, silver hair, opened eyes, detailed, (aristocratic dress), white dress, princess dress, ((frill)), decorated with ornate embellishments, tiara, jewelled necklace, medieval europe environment, walking, (floral garden), (flower garden),",
白毛 夜晚 连衣裙 坐着 白丝雪糕,"1girl, bangs, blue eyes, bow, curtains, dress, white legwear, white gloves, envelope, eyebrows visible through hair, feet, food, frills, hair between eyes, hair ornament, indoors, knees up, looking at viewer, night, night sky, no shoes, shooting star, silver hair, sitting, skirt, sky, solo, star \(sky\), star \(symbol\), star hair ornament, starry sky, very long hair, window,",
金毛 室内 花瓣 蓝白连衣裙 斜视镜头,"1girl, bangs, blonde hair, blue dress, blue eyes, bow, branch, cherry blossoms, collarbone, dress, dutch angle, flower, indoors, long hair, long sleeves, looking at viewer, parted lips, petals, pink flower,solo, white dress, white flower, wide sleeves,",
白毛 乳沟 露肚脐 黑色内衣,"1girl, ass visible through thighs, bangs, bare arms, bare shoulders, black bra, black panties, blue eyes, blush, bra, breasts, cleavage, collarbone, cowboy shot, eyebrows visible through hair, hairband, headdress, lace, lace-trimmed bra, lace trim, lingerie, lolita hairband, long hair, looking at viewer, medium breasts, navel, panties, parted lips, silver hair, solo, standing, stomach, thigh gap, thighs, underwear, underwear only,",
公主婚纱裙 拍照姿势 电影灯光 动态角度,"woman posing for a photo, wearing wedding princess dress, 4k, high-res, masterpiece, best quality, head:1.3, finely detailed skin, sharp focus, (cinematic lighting), collarbone, night, soft lighting, dynamic angle, [:(detailed face:1.2):0.2], (5 stars hotel:1.1),",
金发 萝莉 湿蕾丝金边连衣裙 侧辫 花田,"(Masterpiece, best quality:1.4), (ultra-detailed),God rays, ray tracing, beautiful detail eyes, extremely detailed,extremely detailed CG unity 8k wallpaper,illustration,lens 135mm,f1.8,depth of field,aquagradient eyes,naughty face,(solo),(loli,liitle girl:1.3),an extremely delicate and beautiful girl,cute,light golden hair,bright and detailed eyes,green eyes,long hair flowing with the wind,long bangs between eyes,messy hair,payot,lateral braid,wet white dress with gold decoration,wrinkled skirt,tulle lace white skirt,beautiful hair ornaments,delicate wet skirt,bare legs,blush,happy,:d,cowboy shot,(drizzle),(flower field),nature, painting, water spray,Flowers and grass meadow, sunset, blue sky,river, splashing water,(falling petals),",
公主 王座 红金色连衣裙 白丝,"((masterpiece)), (best quality), (an extremely delicate and beautiful girl), cg 8k wallpaper, colorful, full body, shiny skin, detailed face, detailed eyes, detail background, 1girl, solo, princess, red and golden dress, white legwear, princess dress, white gloves, gemstone jewelry, palace, golden throne,",
教堂 裸肩 露乳 婚纱 自己提裙子 阴道 淫水 ,"masterpiece, best quality, ultra-detailed, illustration, an extremely delicate and beautiful, 1 girl, pretty girl, baby face, petite, gigantic breasts, wearing wedding dress, church, blash, nipples, pussy, pussy juice, potbelly, knee socks(color:white), cross-eyed, bare shoulders, skirt lift by myself, breathless,",
jk 百褶裙 掀裙子 吊带袜 彩色内裤 骆驼趾,"1girl, (colorful panties), lace trim, solo, clothes lift, large breasts, shirt, necktie, (cameltoe:1.2), looking at viewer, white shirt, garter straps, pleated skirt, blush, indoors, bangs, jacket, striped, collared shirt, red necktie, (white hair), from below, black skirt, school uniform, ass visible through thighs, pink eyes, curtains, bow, sidelocks, parted lips, blue skirt, black jacket, straight hair,",
星空 泡泡 性感女孩彩色头发 半透明褶边睡衣 手放脑后漏出腋窝,"(masterpiece), (best quality), Octane rendering, (surreal:1.2), perfect features, 1 girl, colorful, wet, ((translucent frilled nightgown)), (fairy wings), translucent skin, (colored inner hair), translucent hair, ((glowing inner hair)), colorful_hair ornament, the perfect appearance, her face flushed, ( her hands behind her head and out of her armpits1.4), ((caustic, seductive, sexy, charming)), the light red effect, Zero gravity, in space, crystals texture flowers, sparkle, lens flare, light leaks, Broken glass, beautiful detailed gemstone sky, (((colored inner hair, Starry sky adorns hair, (lots_of_big_((colorful))_Bubble), [pearl], [Galaxy], depth of field, colorful bubble, colorful water_drop, colorful spray))),",
黑猫 猫娘 呆毛 蓝色水手服 白丝 坐,"((masterpiece, best quality)), a girl, solo, skirt, sky, sitting, pantyhose, serafuku, cloud, black gloves, outdoors, neckerchief, day, bangs, fence, shirt, ahoge, rooftop, long hair, (white pantyhose), black hair, school uniform, white sailor collar, red eyes, sailor collar, blue skirt, red neckerchief, (blue serafuku), animal ears, blue sky, long sleeves, (blue shirt), looking at viewer, closed mouth, cat ears, chain-link fence, pleated skirt, cloudy sky,",
白毛 红瞳 长发飘荡 小乳房 白色连衣裙 手背,"(Highest picture quality), 1girl, red eyes, white hair, (very long hair), very long hair (floating in the wind), hair ornament, white dress, small breast, bare legs, white socks, leather shoes, arms and hands behind back, blush, fluttering grass, (spring, sakura blossoms), petals, (lens flare), altocumulus, dazzling light, cool breeze, (shade) of [a sakura tree], meadow, (the grass is growing and the birds are flying), (lake, surface reflection),",
印花文胸 印花连裤袜下的内裤 肚脐,"1girl, (print bra), (Panties under printed pantyhose), lace, long hair, medium breasts, navel, solo, yellow eyes,",
黄毛 小女孩 公主 城堡 粉色礼服 皇冠,"A little princess with blue eyes and long blonde hair is standing on a balcony of a tall tower in a castle courtyard at night. She is wearing a pink gown with puffy sleeves and a sweetheart neckline. She has a crown on her head and a fringe. She is smiling with her mouth open, There are bricks, a trellis and the moon around her,",
低双马尾 萝莉 儿童 多彩 内衣 侧系带内裤 淫纹 各种玫瑰,"best quality, colorful, (((loli))), (((child))), pink rose, rose, pink flower, flower, red rose, 1girl, purple rose, blue rose, white rose, long hair, panties, underwear, breasts, solo, low ponytail, looking at viewer, low twintails, thigh strap, green flower, rose petals, pubic tattoo, navel, bare shoulders, white panties, thorns, hair ornament, ribbon, collarbone, twintails, purple flower, holding flower, parted lips, red flower, side-tie panties, cowboy shot, babydoll, medium breasts, wings, bangs, green eyes, eyebrows visible through hair, curtains, blush,",
蓝毛 透明晚礼服 植物学插图,"masterpiece, best quality, extremely detailed, 1girl, full body, beautiful detailed eyes, beautiful detailed face, blue hair, (Botanical illustration:1.5), [see-through:evening dress:0.3],",
夜晚 小包子头 雪纺连衣裙 满月 桃花,"(best quality), (masterpiece), (a girl:1.3) is (sitting on the tree) and soaking feet, (multicolor:1.34), night sky, (close on:1.2), (close shot), chiffon dress, [[light smile]], (baby blue hair), very long hair, water inner hair, little double bun, (beautiful detailed eyes), (red eyes), floating ribbon, (peach blossom), flowers, (flower) tree, Petals on water, floating Petals, [[full moon]],",
星空海报 低双马尾 萝莉 牡丹 夏季花卉连衣裙 连裤袜,"(masterpiece, high quality, highres, illustration), blurry background, [(white background:1.2)::5], cowboy shot, spring \(season\), (no light:1.1), (temptation:1.2), elegance, (1loli:1.1), (very long hair:1.1), (blush:0.7), floating hair, ahoge, deep sky, star \(sky\), (summer (Floral:1.2) dress:1.1), outline, (see-through:0.85), shining, low twintails, (polychromatic peony:1.15), Movie poster, (colorful:1.1), ornament, petals, (pantyhose:1.1), ribbon,",
白毛 猫耳朵 女仆 白色连裤袜下的内裤 跪坐 下面视角,"1girl,panties under pantyhose,(((white pantyhose))),cat ears,solo,white gloves,long hair,hair ornament,no shoes,indoors,ass,from below,facing away,red eyes,blush,animal ear fluff,bangs,maid headdress,feet,braid,hair between eyes,soles,multicolored hair,on floor,petals,white hair,carpet,streaked hair,white shirt,shirt,high-waist skirt,flower,window,black skirt,wooden floor,hairclip,toes,maid,seiza,ribbon,full body,vase,closed mouth,frills,potted plant,sweatdrop,thighs,bow,",
白毛 呆毛 紫瞳 恶魔角 腰部的羽翼 无袖黑色连衣裙 印花连裤袜 坐 膝盖抬起 手放脸上,"1girl,solo,long hair,(((print pantyhose))),white hair,horns,bangs,wings,looking at viewer,purple eyes,sitting,dress,blush,black dress,ahoge,parted bangs,demon horns,alternate costume,knees up,demon wings,indoors,very long hair,low wings,multiple horns,bare shoulders,sleeveless,sleeveless dress,hand on own face,closed mouth,knees together feet apart,",
独角兽 浅紫色头发 眼睛 呆毛 白色连衣裙 内裤 连裤袜 躺在床上 秀脚,"unicorn \(azur lane\),1girl,light purple eyes,light purple hair,long hair,white pantyhose,spread legs,solo,white dress,lying,blush,pillow,white panties,show foot,indoors,hair bun,plant,single hair bun,looking at viewer,ahoge,bangs,on bed,open mouth,breasts,potted plant,ass,small breasts,hair between eyes,no horns,",
古关忧 黑发 校服 黑色连裤袜下的白色内裤 躺着 脚底 无鞋 足部焦点,"1girl,underwear,pantyhose,ui \(blue archive\),panties,no shoes,feet,hairband,long hair,solo,halo,clothes lift,white panties,black hair,covered navel,soles,toes,white skirt,purple eyes,bags under eyes,panties under pantyhose,blush,looking at viewer,book stack,foot focus,black pantyhose,white serafuku,bangs,blue hairband,skirt,hair between eyes,lifted by self,very long hair,school uniform,open mouth,long sleeves,skirt lift,purple hairband,neckerchief,serafuku,sailor collar,cardigan,thighband pantyhose,on back,white sailor collar,blue neckerchief,lying,spread legs,jewelry,the soles of the feet,",
黑发 双包子头 红瞳 中国连衣裙 骨盆帘 连裤袜 不可能的衣服,"1girl,china dress,black hair,hair bun,long hair,red eyes,covered navel,looking at viewer,double bun,pantyhose,breasts,red hair,blush,hair ornament,pelvic curtain,solo,smile,lantern,ahoge,medium breasts,streaked hair,impossible clothes,closed mouth,",
重庆 白毛 双包子头 编织刘海 黄瞳 户外 红色无袖中国连衣裙 中国服装 白丝 花卉印花 牛仔镜头,"((highly detailed, extremely detailed CG unity 8k wallpaper, illustration, highres, absurdres, beautiful detailed eyes, finely detailed breasts, highly detail hair)),((masterpiece)) outdoors,sky,cloud,grass,1girl,solo,chongqing pov crotch,cowboy shot,bangs,closed mouth,medium breasts,braid,yellow eyes,white hair,double bun,gloves,thighhighs,hair bun,elbow gloves,white thighhighs,white gloves,hair ornament,shawl,side slit,dress,braided bun,sleeveless,(floral print),pelvic curtain,skirt,red skirt,shoes,red footwear,alternate costume,bare shoulders,braided bangs,(clothes fur trim:1.1),hair flower,china dress,china clothes,",
逸仙 黑发 红瞳 红色中国连衣裙 中国服装 覆盖肚脐 裸肩 分离式袖子 黑色吊带袜 牛仔镜头,"((highly detailed, extremely detailed CG unity 8k wallpaper, illustration, highres, absurdres, beautiful detailed eyes, finely detailed breasts, highly detail hair)),((masterpiece)),((beautiful detailed eyes)),1girl,solo,yixian,looking at viewer,smile,looking down,pov crotch,cowboy shot,bangs,blush,closed mouth,red eyes,dress,thighhighs,breasts,black thighhighs,garter straps,china dress,chinese clothes,black hair,hair ornament,looking at viewer,red eyes,red dress,lantern,full body,side slit,high heels,vase,flower,covered navel,medium breasts,sitting,long hair,bangs,bare shoulders,detached sleeves,",
逸仙 背后裆下视角从下看 黑发 红瞳  红色中国连衣裙 中国服装 衣服丝袜破 黑手套 大乳房 黑色吊带丝袜,"((masterpiece)),(Transparent underwear),1girl,solo,yixian,looking at viewer,smile,from behind,looking down,pov crotch,bangs,blush,closed mouth,red eyes,full body,long hair,ass,china dress,torn clothes,solo,gloves,red eyes,elbow gloves,chinese clothes,official alternate costume,(garter straps),underwear,panties,red dress,black gloves,black hair,large breasts,black thighhighs,hair ornament,torn thighhighs,black panties,",
白毛 侧乳 巨乳 虎牙 诱人的微笑 中式连衣裙 双手叉腰 透明立方体,"(masterpiece),(best quality),colorful,(Line optimization),1girl,upper body,looking at viewer,from below,hands on hips,armpits,(shiny skin:1.2),(oil highlight),oil skin,bare legs,(sideboob:1.1),(large breasts:1.1),(very long hair:1.2),((white:1.2) hair),floating hair,blush,(seductive face and eyes),(beautiful detailed (pink:1.1) eyes),(half-closed eyes),skin fang,seductive smile,(thighs:1.2),(thick thighs:1.1),perfect body,(groin),((hoodie:0.55|coat:0.4|white chinese dress:0.05, white hoodie):1.2),(ribbon:1.1),patterned,shoulder cutout,(hair ribbon:1.1),((beautiful white complicated glowing halo<square:1.2>):1.3),Chinese style pattern,((transparent cubes:|galaxy):1.4),(crystal clock:1.3),(cloud:1.2),outdoors,(universe:1.2),(floating transparent cubes:1.4),cosmic void,(broken mirror:1.1),reflection,",
黑发 黑色背景 透明黑色印花和服 宽腰带 彼岸花 拥抱自己 背后视角,"blue theme,Ultramarine,1girl,flower,spider lily,solo,black hair,red flower,long hair,from behind,black background,red nails,japanese clothes,kimono,facing away,signature,self hug,nail polish,simple background,black kimono,floral print,sash,crossed arms,see-through,print kimono,long sleeves,light particles,obi,cowboy shot,nape,",
金毛 御姐 蕾丝短上衣 肚脐 白色短裙,"(mature woman:1.3),solo,( blonde long hair:1.1),blue eyes,(lace short top:1.1),white skirt,navel,((masterpiece)),(high quality),(best quality),(detailed),hd,perfect night lighting,detailed face,detailed body,rose,",
夜景 眼睛发亮 褶边连衣裙 奢华礼服 黑白着重 发光蝴蝶 全身 俯视角,"1girl,glowing eyes,(low exposure),frilly dress,extravagant dress,[black and white accent],red ribbons,(bioluminescent butterfly),top view,under the tree shade,night scenery,full body,",
棕色短发 蕾丝连衣裙 高腰半身裙 咖啡厅 坐下 下午茶 柔和的色调,"masterpiece,best quality,kinomoto_sakura,girly style,lace dresses,pastel colors,floral prints,high-waisted skirts,ballet flats,delicate accessories,cafe,indoors,high tea,sit down,table,.a young beautiful girl,green eyes,brown short hair,ultra detailed,official art,unity 8k wallpaper,",
妖精 蝴蝶翅膀 站立 对称 万花筒 详细背景,"absurdres,highres,(Kaleidoscope:1.1),symmetry,detailed background,extremely delicate and beautiful,ultra detailed,one fairy girl,standing,butterfly wings,smile,floating growing butterfly,hair ornaments,looking at viewer,",
裸体 爆乳 闪亮无缝女式连裤紧身衣 牛寨镜头,"(masterpiece, top quality, best quality),1girl,[[[nude]]],huge breasts,(shiny seamlessbodystocking:1.5),Cowboy shots,",
球场 啦啦队长 粉色衬衫 白色裙子 心形切口 小乳房 乳沟 动态姿势,"(masterpiece),best quality,masterpiece,ultra detailed,highres,(light rays),best quality,pink shirt,white skirt,baseball stadium,dynamic pose,(loose socks),sneakers,heart choker,((cleavage cutout)),((heart cutout)),big hair,small breasts,cleavage,bache,1girl,solo,breasts,looking at viewer,blush,smile,skirt,standing,heart,sweat,outdoors,sky,day,armpits,blue sky,symbol-shaped pupils,standing on one leg,cheerleader,pom pom (cheerleading),+ +,",
天空 冷凌轨迹 五彩纸屑 花瓣 白毛 露肩白色连衣裙,"1girl,bangs,bare shoulders,blue sky,blush,cloud,cloudy sky,condensation trail,confetti,day,dress,eyebrows visible through hair,falling petals,feathers,floating hair,gradient sky,hair between eyes,hair ribbon,leaves in wind,long hair,looking at viewer,off-shoulder dress,off shoulder,outdoors,parted lips,petals,ribbon,rose petals,silver hair,sky,solo,standing,two side up,very long hair,white dress,wind,wind lift,yellow eyes,",
女童 平胸 低双马尾 湿身 透视 乳头 肚脐 骆驼趾 太阳裙,"female child, [low ponytail:low twintails:0.2], wet, sweat, [see-through:see-through, nipples, navel, cameltoe:0.55], water, splash, fountain, sundress, smile, blush, flat chest, open mouth, brown hair,",
粉毛 小乳房 斜刘海 阴道 淫水 阴道线 白色连体袜,"small breasts,pink long disheveled hair,diagonal bangs,looking at pussy,evil smile,pussy line,pussy juice,nipple,sit on sofa,white bodystocking,",
